a,b,pearson,spearman,agreement,near_clone
technical.bollinger,technical.donchian,-0.8315060928516257,-0.8315896852339995,0.08170426065162907,False
pine.mavilim,technical.trend_slope,0.8243506185059811,0.8243506185059812,0.9142857142857143,False
technical.bollinger,technical.rsi,-0.7958925480823307,-0.7958925480823303,0.09924812030075188,False
technical.trend_ma,technical.trend_slope,0.7939493127978959,0.7939493127978953,0.9007518796992481,False
technical.donchian,technical.rsi,0.7821280434524235,0.7822123126393863,0.893734335839599,False
rule.turtle,technical.trend_ma,-0.7392483598087828,-0.7392483598087837,0.12581453634085213,False
technical.roc,technical.rsi,0.7022279961718502,0.7020899820113337,0.8541353383458646,False
pine.hl_ott,technical.rsi,0.7003716972003036,0.7003716972003033,0.8541353383458646,False
pine.leledc,technical.trend_slope,-0.6928661021077236,-0.6928661021077226,0.14837092731829574,False
pine.hl_ott,technical.roc,0.6900465869537009,0.689693838734261,0.8481203007518797,False
pine.supertrend,rule.turtle,-0.6853334191799781,-0.6853334191799786,0.15588972431077694,False
technical.donchian,technical.roc,0.6820966714160429,0.681878584325161,0.8451127819548873,False
technical.adx,technical.rsi,0.6802327211912949,0.6795444521731134,0.5884711779448621,False
pine.hl_ott,pine.supertrend,0.6757592592497559,0.6757592592497562,0.8395989974937343,False
pine.mavilim,technical.trend_ma,0.6714116355581905,0.6714116355581896,0.8401002506265665,False
pine.hl_ott,technical.donchian,0.6503036928828637,0.6502160081928604,0.8295739348370927,False
pine.supertrend,technical.adx,0.6499898100142593,0.6491031196836217,0.574937343358396,False
rule.turtle,technical.roc,-0.6498386127682055,-0.6499327943293702,0.16791979949874686,False
pine.leledc,technical.trend_ma,-0.6462479184223225,-0.6462479184223222,0.17042606516290726,False
rule.moving_average_crossover,technical.bollinger,-0.6455403790805889,-0.6455403790805898,0.17293233082706766,False
technical.roc,technical.structure,0.6425914400136178,0.6439299905498809,0.7724310776942356,False
pine.leledc,pine.mavilim,-0.6408135043309517,-0.6408135043309519,0.174937343358396,False
pine.supertrend,technical.roc,0.6384643569117825,0.6385137326535858,0.819047619047619,False
pine.hl_ott,technical.bollinger,-0.6363048297916286,-0.6363048297916268,0.17694235588972432,False
technical.adx,technical.roc,0.6304133645553394,0.6291102599328071,0.5704260651629073,False
technical.bollinger,technical.roc,-0.6268968007202099,-0.6267736546744108,0.17944862155388472,False
rule.turtle,technical.trend_slope,-0.6257949187002063,-0.6257949187002055,0.18095238095238095,False
pine.supertrend,technical.rsi,0.6257869567209594,0.6257869567209593,0.8150375939849624,False
technical.obv,technical.trend_ma,0.6239026566653332,0.6239026566653331,0.8195488721804511,False
pine.hl_ott,technical.adx,0.6221330480914538,0.6206401826793642,0.5659147869674186,False
rule.turtle,technical.adx,-0.6213536352095164,-0.6213661753937747,0.06466165413533835,False
rule.moving_average_crossover,technical.donchian,0.6142758321827014,0.6141878872644445,0.8115288220551379,False
rule.moving_average_crossover,technical.macd,0.6069096866590125,0.6069096866590137,0.8040100250626566,False
pine.hl_ott,rule.turtle,-0.6068801506181277,-0.6068801506181286,0.19097744360902255,False
pine.supertrend,technical.trend_ma,0.598825097713101,0.5988250977131012,0.8015037593984963,False
rule.turtle,technical.rsi,-0.595273314333675,-0.5952733143336751,0.19649122807017544,False
technical.donchian,technical.structure,0.5921890886558655,0.5914280417091285,0.7463659147869675,False
rule.turtle,technical.obv,-0.591569673794335,-0.5915696737943343,0.19699248120300752,False
pine.hl_ott,rule.moving_average_crossover,0.5914065913791733,0.5914065913791745,0.800501253132832,False
pine.wavetrend,technical.trend_slope,-0.577608539711166,-0.5776085397111668,0.20150375939849624,False
rule.moving_average_crossover,technical.rsi,0.5758398150543386,0.5758398150543386,0.7929824561403509,False
technical.obv,technical.trend_slope,0.5731807733363361,0.5731807733363361,0.7944862155388471,False
technical.bollinger,technical.macd,-0.5700052849915076,-0.5700052849915079,0.21453634085213033,False
technical.rsi,technical.trend_ma,0.5681307037073058,0.5681307037073051,0.7909774436090226,False
technical.rsi,technical.structure,0.5671191237867761,0.5669754234998625,0.7348370927318296,False
technical.adx,technical.donchian,0.5667996243475752,0.5655168623228553,0.544360902255639,False
pine.mavilim,rule.turtle,-0.5595991912404803,-0.5595991912404794,0.21453634085213033,False
technical.adx,technical.trend_ma,0.5580284788962967,0.557809318132671,0.5418546365914787,False
technical.adx,technical.bollinger,-0.555726781573489,-0.5548064789992118,0.09022556390977443,False
technical.roc,technical.trend_ma,0.5556071428628758,0.5559474657250061,0.7854636591478696,False
pine.vix_fix,technical.macd,-0.5451130009588323,-0.545113000958833,0.24511278195488723,False
pine.supertrend,technical.donchian,0.5447532192242893,0.5448358533974935,0.774937343358396,False
pine.hl_ott,technical.structure,0.5336891214472906,0.5336992309115529,0.7192982456140351,False
technical.bollinger,technical.structure,-0.5205925156722936,-0.5190518600286992,0.19949874686716793,False
pine.hl_ott,technical.trend_ma,0.5197365574701922,0.5197365574701932,0.7674185463659148,False
pine.leledc,rule.turtle,0.5181541845064535,0.518154184506453,0.7669172932330827,False
rule.turtle,technical.structure,-0.5179998412504819,-0.5204454080194574,0.2,False
pine.leledc,pine.wavetrend,0.5138685129846834,0.5138685129846831,0.7684210526315789,False
technical.adx,technical.structure,0.5098013673697269,0.5136394508753305,0.5343358395989974,False
pine.vix_fix,technical.bollinger,0.5082782986025867,0.5082782986025876,0.7609022556390977,False
technical.adx,technical.obv,0.5045825572722131,0.5060080235901352,0.5213032581453634,False
pine.supertrend,technical.obv,0.5042475677334757,0.5042475677334759,0.7553884711779448,False
pine.mavilim,technical.obv,0.5037791660372684,0.5037791660372687,0.7588972431077694,False
pine.squeeze,rule.turtle,-0.4999243323248475,-0.49992433232484756,0.24160401002506265,False
pine.mavilim,pine.wavetrend,-0.49756896206285933,-0.4975689620628584,0.24310776942355888,False
pine.squeeze,technical.trend_ma,0.4965982519741232,0.49659825197412283,0.7578947368421053,False
pine.vix_fix,rule.moving_average_crossover,-0.4959580674034894,-0.4959580674034895,0.24862155388471177,False
technical.donchian,technical.macd,0.4932537510514109,0.49333424319104424,0.7473684210526316,False
pine.supertrend,technical.structure,0.4929581868450256,0.49457611048290473,0.6952380952380952,False
technical.obv,technical.rsi,0.4913613438628431,0.49136134386284314,0.7538847117794486,False
pine.supertrend,technical.bollinger,-0.4909847498645962,-0.49098474986459606,0.2511278195488722,False
pine.leledc,technical.obv,-0.4859395302711357,-0.48593953027113485,0.24761904761904763,False
technical.structure,technical.trend_ma,0.47511175860755,0.4762945799780181,0.6952380952380952,False
rule.moving_average_crossover,technical.roc,0.47160481846278585,0.47128194820350766,0.7418546365914787,False
pine.wavetrend,technical.trend_ma,-0.4712634920503995,-0.4712634920503981,0.24962406015037594,False
technical.obv,technical.roc,0.46342365553093723,0.46334593779750943,0.7413533834586467,False
pine.vix_fix,technical.donchian,-0.46123445425853205,-0.4611720608930731,0.25914786967418546,False
rule.turtle,technical.donchian,-0.4548743411834562,-0.4549673595828435,0.26416040100250626,False
pine.supertrend,technical.trend_slope,0.4529462343454426,0.45294623434544373,0.7303258145363408,False
pine.squeeze,technical.trend_slope,0.4524449793841479,0.45244497938414757,0.7358395989974937,False
technical.adx,technical.trend_slope,0.44827045555553674,0.45011573829877594,0.4992481203007519,False
pine.squeeze,pine.supertrend,0.4436702867034978,0.44367028670349856,0.7258145363408521,False
technical.donchian,technical.trend_ma,0.44354508459859243,0.4436408508024911,0.7308270676691729,False
technical.obv,technical.structure,0.4420856589806482,0.44303302142411416,0.6802005012531328,False
rule.moving_average_crossover,technical.adx,0.4408899532982958,0.4398510668098664,0.49523809523809526,False
pine.mavilim,pine.squeeze,0.4351563113899328,0.435156311389932,0.72531328320802,False
pine.hl_ott,technical.obv,0.42848905251058667,0.4284890525105872,0.7233082706766917,False
neural.lstm,technical.rsi,-0.42280364754858035,-0.42280364754858,0.3087719298245614,False
rule.turtle,technical.bollinger,0.42132730652525496,0.4213273065252547,0.7192982456140351,False
pine.supertrend,rule.moving_average_crossover,0.41702509217059885,0.41702509217060063,0.712280701754386,False
rule.moving_average_crossover,technical.structure,0.40833513227466134,0.40864792115638054,0.6606516290726817,False
technical.rsi,technical.trend_slope,0.40770025666740756,0.40770025666740756,0.7127819548872181,False
pine.mavilim,pine.supertrend,0.4057910911321066,0.40579109113210715,0.706766917293233,False
pine.hl_ott,pine.vix_fix,-0.4024871456838199,-0.402487145683821,0.28671679197994987,False
pine.squeeze,technical.adx,0.4011083756005748,0.4016121767580776,0.48120300751879697,False
neural.lstm,technical.bollinger,0.40109217470123165,0.40109217470123126,0.6802005012531328,False
pine.squeeze,technical.roc,0.3999698871730671,0.4001132390272969,0.7102756892230576,False
technical.donchian,technical.obv,0.39992082305648996,0.40001755825106405,0.7097744360902256,False
pine.mavilim,technical.adx,0.3956123234774763,0.39964639871883173,0.47769423558897245,False
pine.leledc,technical.adx,-0.3912586165170574,-0.3927771007229316,0.15338345864661654,False
technical.roc,technical.trend_slope,0.3902221992426518,0.3905803919131868,0.7052631578947368,False
technical.bollinger,technical.trend_ma,-0.38912584689592694,-0.3891258468959264,0.29523809523809524,False
