Candidate,Label,Family,Horizon,Cells,Calls,Coverage,Independent cutoffs,Accuracy,CI low,CI high,Baseline accuracy,Advantage,Adv CI low,Adv CI high,p,BUY-SELL bp,Resolved,Reference,Family size,p Holm,Holm reject,Beats baseline,Verdict
ht2.vwap_reversion,ht2.vwap_reversion,?,1d,1996,212,0.1062124248496994,64,0.42924528301886794,0.3644588270818788,0.4965503574312087,0.5283018867924528,-0.03908730158730158,-0.16277312748015874,0.08091920882936503,0.5286471352864713,-44.63667299411134,True,False,84,1.0,False,False,REJECT
ht2.vwap_reversion,ht2.vwap_reversion,?,1w,1996,212,0.1062124248496994,64,0.5330188679245284,0.46586918744870714,0.5989931931118522,0.589622641509434,-0.023983134920634933,-0.09871651785714279,0.09922030009920633,0.656934306569343,112.09239133789788,True,False,84,1.0,False,False,REJECT
ht2.vwap_reversion,ht2.vwap_reversion,?,5w,1996,212,0.1062124248496994,64,0.37735849056603776,0.31483718426631513,0.44424540222303643,0.5943396226415094,-0.11937003968253967,-0.250372333829365,-0.005642361111111112,0.05449455054494551,-397.96026998938123,True,False,84,1.0,False,False,REJECT
