Candidate,Label,Family,Horizon,Cells,Calls,Coverage,Independent cutoffs,Accuracy,CI low,CI high,Baseline accuracy,Advantage,Adv CI low,Adv CI high,p,BUY-SELL bp,Resolved,Reference,Family size,p Holm,Holm reject,Beats baseline,Verdict
technical.structure,Market structure,technical,5w,1087,986,0.9070837166513339,53,0.5202839756592292,0.48908185925728254,0.5513286468277314,0.5699797160243407,-0.054546428965495504,-0.1066754687731672,0.011569393141987919,0.0800919908009199,-108.0086145531333,True,False,81,1.0,False,False,REJECT
technical.adx,ADX direction,technical,5w,1087,675,0.6209751609935602,53,0.4874074074074074,0.44987719703644224,0.5250801420541498,0.5481481481481482,-0.05547622579794437,-0.1309099916968915,0.03049168958763196,0.1790820917908209,-134.58226435081178,True,False,81,1.0,False,False,REJECT
technical.trend_ma,EMA 12/48 spread,technical,5w,1087,1087,1.0,53,0.5059797608095676,0.47628892523352645,0.5356284787231984,0.5648574057037719,-0.058109478708330234,-0.11779179229302279,0.020017173966312595,0.1080891910808919,-183.00682582299146,True,False,81,1.0,False,False,REJECT
technical.roc,20-bar return,technical,5w,1087,1083,0.9963201471941122,53,0.5041551246537396,0.47441501736642505,0.5338658581539818,0.564173591874423,-0.05890544374957829,-0.10387489612520372,0.000878197035395561,0.034096590340965904,-83.45956197867159,True,False,81,1.0,False,False,REJECT
technical.macd,MACD histogram,technical,5w,1087,1087,1.0,53,0.5013799448022079,0.4717033063445765,0.5310468637992831,0.5648574057037719,-0.06211038073220189,-0.1345852998519118,0.008862206975414521,0.0822917708229177,83.28958306140784,True,False,81,1.0,False,False,REJECT
pine.squeeze,Squeeze Momentum,pine,5w,1087,1087,1.0,53,0.49862005519779207,0.4689531362007169,0.5282966936554235,0.5648574057037719,-0.06681809303630468,-0.10860824641587558,-0.0018892561499206852,0.025997400259974,-111.22362892679409,True,False,81,1.0,False,False,REJECT
technical.rsi,RSI 14,technical,5w,1087,1087,1.0,53,0.49310027598896045,0.46345549862131064,0.5227936506593914,0.5648574057037719,-0.06976797744230066,-0.13048369964735837,-0.00828321063677918,0.0216978302169783,-125.76553964324559,True,False,81,1.0,False,False,REJECT
technical.bollinger,Bollinger reversion,technical,5w,1087,1087,1.0,53,0.49402023919043236,0.46437152127680154,0.5237110747664735,0.5648574057037719,-0.07093167701863352,-0.17048559691607276,0.04323323176686585,0.19048095190480951,86.8601853333694,True,False,81,1.0,False,False,REJECT
rl.neuro_evolution__novelty_search,Neuro-evolution (novelty search),rl,5w,1037,1031,0.9942140790742526,53,0.4917555771096023,0.4613261537811493,0.5222462113035168,0.5722599418040737,-0.0756484908669616,-0.16179626811454026,0.013419067071624125,0.09299070092990701,20.32060240676606,True,False,81,1.0,False,False,REJECT
rl.neuro_evolution,Neuro-evolution,rl,5w,1037,1029,0.9922854387656702,53,0.4878522837706511,0.4574127979096683,0.5183821352146365,0.5714285714285714,-0.07895923721117949,-0.1481163005510952,-0.005916900293565123,0.030296970302969704,-26.35553778348735,True,False,81,1.0,False,False,REJECT
rule.turtle,Turtle,rule,5w,1087,1087,1.0,53,0.47930082796688134,0.4497271800531453,0.5090202677889611,0.5648574057037719,-0.08068459705457243,-0.19477597136251773,0.024560588304230534,0.1446855314468553,69.05211510206767,True,False,81,1.0,False,False,REJECT
rl.policy_gradient,Policy gradient,rl,5w,1037,1026,0.9893924783027965,53,0.48050682261208577,0.4500646488252122,0.5110944265121989,0.5721247563352827,-0.0862844074164829,-0.16569447847749727,-0.0009850526831659409,0.04179582041795821,-64.9482619232647,True,False,81,1.0,False,False,REJECT
neural.vanilla_rnn,Vanilla RNN projection,neural,5w,1087,1087,1.0,53,0.47746090156393745,0.44789844216916536,0.5071821121477949,0.5648574057037719,-0.08987298864657357,-0.18098716613575103,0.002077809768847463,0.054094590540945904,-22.86078881853268,True,False,81,1.0,False,False,REJECT
pine.leledc,Leledc exhaustion levels,pine,5w,1087,1087,1.0,53,0.46642134314627415,0.4369344563589544,0.4961447368071294,0.5648574057037719,-0.09126153720493342,-0.19466276647880415,0.00974370048190803,0.07729227077292271,-34.12226355092144,True,False,81,1.0,False,False,REJECT
reference.incumbent,Ultimate consensus,reference,5w,1087,207,0.19043238270469182,53,0.5603864734299517,0.49227988461993055,0.6262925413149893,0.6376811594202898,-0.09467654986522912,-0.16354503593890385,-0.01102875112309075,0.0182981701829817,-233.83599492426373,True,True,81,,False,False,REFERENCE
pine.wavetrend,WaveTrend,pine,5w,1087,1087,1.0,53,0.46458141674333026,0.43510853463189975,0.4943037650090379,0.5648574057037719,-0.09968516170731101,-0.19856805929919133,-0.006064682480494621,0.039696030396960305,-6.777565774521987,True,False,81,1.0,False,False,REJECT
pine.vix_fix,Williams Vix Fix,pine,5w,1087,1087,1.0,53,0.45262189512419504,0.4232498917437904,0.48232759998369773,0.5648574057037719,-0.10625013761190957,-0.21167263014535365,0.005068193359825836,0.05349465053494651,-103.82355296213349,True,False,81,1.0,False,False,REJECT
rule.signal_rolling,Signal rolling,rule,5w,1087,1087,1.0,53,0.45722171113155474,0.42780888509943704,0.4869358404409163,0.5648574057037719,-0.106279417874988,-0.17212623051681705,-0.020576097610347018,0.007499250074992501,-124.70484779153634,True,False,81,0.60744,False,False,REJECT
rl.evolution_strategy,Evolution strategy,rl,5w,1037,960,0.9257473481195757,53,0.45625,0.42497869523563925,0.48787005501543934,0.5739583333333333,-0.11513606207272281,-0.19846587953588946,-0.024642776538258172,0.011198880111988802,-269.8654509436279,True,False,81,0.89591,False,False,REJECT
