candidate,neural.gru,neural.lstm,neural.vanilla_rnn,pine.hl_ott,pine.leledc,pine.mavilim,pine.squeeze,pine.supertrend,pine.vix_fix,pine.wavetrend,rl.evolution_strategy,rl.neuro_evolution,rl.neuro_evolution__novelty_search,rl.policy_gradient,rule.moving_average_crossover,rule.signal_rolling,rule.turtle,technical.adx,technical.bollinger,technical.donchian,technical.macd,technical.obv,technical.roc,technical.rsi,technical.structure,technical.trend_ma,technical.trend_slope
neural.gru,1.0,0.16462724863449665,-0.028855214637711887,-0.13089814630283444,-0.10203134927756534,0.15391817593449164,0.03396713223646981,-0.06362134840074363,0.19478323554736487,-0.08226168530680902,0.033483282489881264,0.004144324492754415,-0.02529555415738192,-0.004001501218130795,-0.13111417248727045,0.08721277055603305,0.009361208480682174,-0.06869885966781766,0.19287299898457932,-0.1781560780741546,-0.22850370598989883,0.04366062060474916,-0.12078689374647186,-0.15017626325526973,-0.07676057974601089,0.051852954128366005,0.10010145505524333
neural.lstm,0.16462724863449665,1.0,0.04211826913297654,-0.3777115894188279,0.1118764710259952,-0.16364338476786655,-0.18896386587339375,-0.3484905806087953,0.20044181528865732,0.004767317405000528,0.045490538915675414,0.03425316086533946,0.004036531565863856,0.027713689053016195,-0.28177568058833835,0.12893919854620658,0.3332626128735703,-0.35080225890661304,0.40109217470123165,-0.38349026013973697,-0.2322671213835492,-0.2568244338023028,-0.3706895974644815,-0.42280364754858035,-0.27505815672772715,-0.2755272899963382,-0.16820585091145251
neural.vanilla_rnn,-0.028855214637711887,0.04211826913297654,1.0,-0.13741188959512646,0.3125868988740865,-0.2821807852927472,-0.17241644079691823,-0.1672922042416075,0.0017476444338523722,0.3230831979029868,0.009147764774765275,0.05871616433207044,0.000506420514009963,-0.04036817203147988,-0.09249035426387067,0.02522012498138616,0.2226756170789765,-0.20462339173769098,0.14538480043185772,-0.16856217248706523,0.019775982076524413,-0.2405307286426268,-0.1351944036500232,-0.20027478492458406,-0.1266252377758445,-0.3096770638573201,-0.3373226207287488
pine.hl_ott,-0.13089814630283444,-0.3777115894188279,-0.13741188959512646,1.0,-0.28943029352189886,0.24522110312896844,0.3414213455674474,0.6757592592497559,-0.4024871456838199,-0.1290510480444657,-0.08007101207368078,-0.035626584473605706,-0.03788247264706186,0.027418486142787534,0.5914065913791733,-0.1586463993635295,-0.6068801506181277,0.6221330480914538,-0.6363048297916286,0.6503036928828637,0.38150734803071873,0.42848905251058667,0.6900465869537009,0.7003716972003036,0.5336891214472906,0.5197365574701922,0.3305511883577203
pine.leledc,-0.10203134927756534,0.1118764710259952,0.3125868988740865,-0.28943029352189886,1.0,-0.6408135043309517,-0.3571126919995378,-0.38331331177225053,-0.04041727323948777,0.5138685129846834,0.1124157521099787,0.03756902917488781,0.023542879315891916,0.05116826248103176,-0.13679668199344472,-0.00919512771299344,0.5181541845064535,-0.3912586165170574,0.19638680076363024,-0.22570064360573167,0.141366410170247,-0.4859395302711357,-0.31535443243515304,-0.33759199855646355,-0.32311492904162453,-0.6462479184223225,-0.6928661021077236
pine.mavilim,0.15391817593449164,-0.16364338476786655,-0.2821807852927472,0.24522110312896844,-0.6408135043309517,1.0,0.4351563113899328,0.4057910911321066,0.17148227640262445,-0.49756896206285933,-0.10302378471471266,-0.05794585488142778,-0.02243433872812952,-0.1249986630489928,0.04389781403400297,0.03894208631991651,-0.5595991912404803,0.3956123234774763,-0.13853799454470792,0.1893065522854655,-0.25315179291901063,0.5037791660372684,0.30026230324877573,0.3301747005907121,0.3056586724203019,0.6714116355581905,0.8243506185059811
pine.squeeze,0.03396713223646981,-0.18896386587339375,-0.17241644079691823,0.3414213455674474,-0.3571126919995378,0.4351563113899328,1.0,0.4436702867034978,-0.04913726999366275,-0.3077753464699529,-0.05383329219312144,-0.0018007360616013814,0.0022976046552967374,-0.0221575215718941,0.19889102019666263,0.0023856758173517985,-0.4999243323248475,0.4011083756005748,-0.2544768271739581,0.28384955651740973,-0.0018448506374966526,0.38819117511104334,0.3999698871730671,0.36066965947190777,0.3778684407071563,0.4965982519741232,0.4524449793841479
pine.supertrend,-0.06362134840074363,-0.3484905806087953,-0.1672922042416075,0.6757592592497559,-0.38331331177225053,0.4057910911321066,0.4436702867034978,1.0,-0.2906084918470841,-0.18907478561025828,-0.10046442507318004,-0.06784328766340275,-0.007336071018335164,-0.009476600230894115,0.41702509217059885,-0.09788426660047132,-0.6853334191799781,0.6499898100142593,-0.4909847498645962,0.5447532192242893,0.2026371568722995,0.5042475677334757,0.6384643569117825,0.6257869567209594,0.4929581868450256,0.598825097713101,0.4529462343454426
pine.vix_fix,0.19478323554736487,0.20044181528865732,0.0017476444338523722,-0.4024871456838199,-0.04041727323948777,0.17148227640262445,-0.04913726999366275,-0.2906084918470841,1.0,-0.12320459971525756,0.04977567514049546,0.034969532372349045,0.00962837051370751,-0.08258738939689983,-0.4959580674034894,0.19022729730997492,0.15200813399909,-0.2894354962298867,0.5082782986025867,-0.46123445425853205,-0.5451130009588323,-0.11150461663134559,-0.3335809283602529,-0.38618277464964146,-0.28910871285372675,-0.08147323148846228,0.07604072702931912
pine.wavetrend,-0.08226168530680902,0.004767317405000528,0.3230831979029868,-0.1290510480444657,0.5138685129846834,-0.49756896206285933,-0.3077753464699529,-0.18907478561025828,-0.12320459971525756,1.0,0.05421526332911884,0.0162865034721624,-0.0175207721467558,0.04090267198467415,-0.016332548788372737,-0.034214683620685776,0.30024946072763425,-0.2533045015742368,0.07896309426015473,-0.1132008785447945,0.20371916010181257,-0.3231547525767494,-0.17179782108847966,-0.19955863517522887,-0.18708368272027384,-0.4712634920503995,-0.577608539711166
